,AvgMax,AvgMin,AvgMSE,AvgMean
0.1,2494.3113065923776,14.068996996776821,969083.5957516325,630.2190387187179
1,1354.074325951061,3.52380350732769,381857.32727702684,255.53912047111587
5,1155.4640827316703,2.7891510664383237,302017.54406582285,201.72231405879347
10,1309.2770549511613,3.34299295515203,336618.68026773416,243.96386341532383
